Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",990706,1492231,2482938
Palivové dřevo,269,43379,43648
Rostlinné materiály,90594,58778,149372
Brikety a pelety,163802,58327,222129
Celulózové výluhy,357433,1073320,1430752
Ostatní biomasa,0,0,0
Celkem,1602804,2726035,4328839
