,2009,2010,2011,2012,2013,2014
Biomasa (mimo domácnosti),31912168,34322383,35710201,38362282,40330097,43440723
Biomasa (domácnosti),60911845,63180774,65081961,67857015,70619605,72279617
Vodní elektrárny,8746632,10042106,7067354,7664998,9845064,6873203
Bioplyn,5444215,7392527,10456430,15698156,23910154,25458475
Biologicky rozložitelná část TKO,2229590,2625705,3344685,3503928,3472480,3452851
Kapalná biopaliva,8239965,9786898,12553990,11746298,11422126,13513816
Tepelná čerpadla (teplo prostředí),1707616,2087429,2479081,2700000,2911143,3335371
Solární termální systémy,265502,364096,457869,526020,572671,618678
Větrné elektrárny,1037041,1207775,1429211,1496941,1729868,1715558
Fotovoltaické elektrárny,319705,2216527,7855265,7735046,7317554,7642328
Celkem,120814280,133226220,146436047,157290684,172130762,178330620
