E95 (95% OZE z celku) 2007 2008 2009 2010 2011 2012 2013
Dovoz - - - 1 5 50 65
Vývoz - - - 2 - - 7
Tuzemská spotřeba - - 10 -1 5 53 58
E95 (95% OZE z celku) 2014 2015 2016 2017 2018 2019 2020
Dovoz - - - - - - -
Vývoz - - - - - - -
Tuzemská spotřeba - - - - - - -
