Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",1176161,1573202,2749363
Palivové dřevo,0,42615,42615
Rostlinné materiály,98458,57659,156116
Brikety a pelety,144395,75187,219582
Celulózové výluhy,537061,1262882,1799943
Ostatní biomasa,0,0,0
Celkem,1956075,3011545,4967620
