,Počet respondentů,Instalovaný elektrický výkon  (kW),Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh)
2003,2,886,"1691,2","1386,7","304,5"
2004,4,998,"2001,2","1637,5","363,7"
2005,4,976,"2869,1","2367,8","501,3"
2006,2,940,"2069,6","1662,6","407,0"
2007,4,1006,"3291,6","2473,6","818,0"
2008,6,1029,"4016,4","3176,4","840,0"
2009,6,1499,"3615,6","2716,6","899,0"
2010,6,1349,"4971,0","4295,2","675,8"
2011,6,1414,"6923,8","6289,8","634,0"
2012,6,1785,"8517,1","8073,7","443,4"
2013,6,2105,"8799,7","8366,3","433,4"
2014,7,2142,"17419,0","8707,9","8711,1"
2015,7,2142,"16536,6","10904,0","5632,6"
2016,7,2142,"17815,5","10634,9","7180,6"
2017,7,2142,"23462,1","14414,9","9047,2"
2018,7,2144,"22455,2","13207,7","9247,5"
2019,7,2144,"21784,8","13267,9","8516,9"
2020,7,2144,"19546,8","12428,2","7118,5"
