,Počet resp.,Instalovaný  tepelný výkon  (kW),Výroba tepla (GJ),Dodávka do vlastního podniku nebo zařízení  vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ)
2003,6,3702,"57324,3","57324,3","0,0"
2004,7,4189,"67553,0","67553,0","0,0"
2005,7,3569,"67222,5","67222,5","0,0"
2006,13,9107,"80270,0","71330,0","8940,0"
2007,19,13689,"167776,0","165423,0","2353,0"
2008,42,28812,"226451,9","149591,9","76860,0"
2009,81,55485,"397616,2","299362,5","98253,7"
2010,112,77601,"752399,6","591600,6","160799,0"
2011,179,132706,"1015821,0","807390,9","208430,1"
2012,302,246136,"1580765,3","1325660,4","255104,9"
2013,371,306704,"2724263,9","2390793,5","333470,4"
2014,376,311401,"3129431,3","2718221,2","411210,1"
2015,378,312385,"3239707,6","2763240,5","476467,1"
2016,375,312355,"3933002,0","3482671,1","450330,9"
2017,379,315220,"3704793,0","3240243,1","464549,6"
2018,373,309891,"3687417,1","3195342,7","492074,4"
2019,372,313372,"3668971,0","3175073,5","493897,5"
2020,367,311482,"3782996,3","3288391,3","494605,0"
