Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",1029498,1537473,2566971
Palivové dřevo,182,59599,59781
Rostlinné materiály,98754,64280,163034
Brikety a pelety,157834,64708,222542
Celulózové výluhy,356899,1066254,1423153
Ostatní biomasa,0,0,0
Celkem,1643167,2792314,4435481
