Roky,1977,1978,1979,1980,1981,1982,1983,1984,1985
Ploché zasklené,–,–,–,–,–,–,–,–,–
Vakuové trubkové,–,–,–,–,–,–,–,–,–
Koncentrační,–,–,–,–,–,–,–,–,–
Celkem,0,236,1857,2244,3250,2500,7254,9322,11154
Roky,1986,1987,1988,1989,1990,1991,1992,1993,1994
Ploché zasklené,–,–,–,–,–,–,–,–,–
Vakuové trubkové,–,–,–,–,–,–,–,–,–
Koncentrační,–,–,–,–,–,–,–,–,–
Celkem,3630,3700,3960,3810,3070,2050,1850,2300,2850
Roky,1995,1996,1997,1998,1999,2000,2001,2002,2003
Ploché zasklené,–,–,–,–,–,–,–,–,8429
Vakuové trubkové,–,–,–,–,–,–,–,–,1768
Koncentrační,–,–,–,–,–,–,–,–,18
Celkem,3375,3848,3966,4052,5452,5884,6334,7659,10215
Roky,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ploché zasklené,10212,13111,17009,19122,26014,39590,72545,42510,31825
Vakuové trubkové,1965,2353,3552,6555,8511,11817,17799,9479,6613
Koncentrační,90,60,0,0,25,0,100,37,0
Celkem,12267,15524,20561,25678,34550,51406,90444,52026,38438
Roky,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ploché zasklené,23394,20259,19768,19070,14067,11146,12337,11280,
Vakuové trubkové,6037,6790,6452,6176,4465,3621,3126,2842,
Koncentrační,0,0,0,0,0,0,0,0,
Celkem,29430,27049,26220,25246,18532,14767,15463,14122,
