,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,49,–,48957809
Průmyslové ČOV,13,–,3635367
Bioplynové stanice,10,–,5260005
Skládkový plyn,18,–,37515824
Celkem,90,–,95369005
