,2006,2007,2008,2009,2010,2011,2012,2013
Vodní elektrárny,"1016,3","1024,3","1028,5","1036,9","1048,1","1049,6","1063,8","1079,0"
MVE < 1 MW,"122,4","128,2","131,6","135,4","140,9","142,2","148,5","154,6"
MVE 1 až < 10 MW,"141,1","143,3","144,1","148,7","154,4","154,7","162,5","171,6"
VVE ≥ 10 MW,"752,8","752,8","752,8","752,8","752,8","752,8","752,8","752,8"
