,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,44,94,60418808
Průmyslové ČOV,13,14,18837990
Bioplynové stanice,379,404,1191675055
Skládkový plyn,24,68,53911716
Celkem,460,580,1324843569
