Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",1123599,1401504,2525103
Palivové dřevo,58,64757,64815
Rostlinné materiály,95231,57986,153217
Brikety a pelety,185211,76087,261299
Celulózové výluhy,401605,1049435,1451040
Ostatní biomasa,0,0,0
Celkem,1805704,2649770,4455473
