,2015,2016,2017,2018,2019,2020
Biomasa celkem,77263689,79491855,78803611,80625885,87484042,91083077
Biomasa mimo domácnosti,22214848,23695960,21940177,21507294,24154160,26446458
Palivové dřevo,477674,638298,673578,533367,419948,458160
Štěpka apod.,12313628,12946212,11464006,11588055,11903110,13320889
Celulózové výluhy,7962885,8462709,8103959,7940204,10323296,11010531
Neaglom. rostlinné materiály,654398,744179,635728,570429,587925,585241
Brikety a pelety,801131,898944,1056281,870841,917466,1069377
Ostatní biomasa,0,0,0,0,0,0
Kapalná biopaliva,5132,5617,6624,4398,2417,2259
Biomasa domácnosti,55048841,55795896,56863434,59118591,63329882,64636619
Bioplyn celkem,4158488,4884701,4618366,4571585,4529371,4607317
Komunální ČOV,617838,595854,555846,582288,577106,529230
Průmyslové ČOV,218717,278085,288999,237271,216919,226953
Bioplynové stanice,3239708,3933002,3704793,3687417,3668971,3782996
Skládkový plyn,82226,77759,68728,64608,66374,68139
Biologicky rozložitelná část TKO,2306933,2365479,2420024,2442111,2353991,2444819
Tepelná čerp. (teplo prostředí),4521929,5256469,6150771,7234710,8489332,9786587
Solární termální systémy,661810,698763,730653,752557,767306,788597
Celkem,88912849,92697267,92723425,95626848,103624042,108710397
