,2003,2004,2005,2006,2007,2008
Vodní elektrárny,1383467,2019400,2379910,2550700,2089600,2024335
MVE < 1 MW,242020,286100,342980,463554,477340,442456
MVE 1 až < 10 MW,418049,617400,727730,425510,495210,477823
VVE ≥ 10 MW,723398,1115900,1309200,1661636,1117050,1104056
Biomasa celkem,372972,564546,560251,731088,968072,1170528
Palivové dříví,0,0,0,0,0,0
Štěpka apod.,82818,265269,222497,272725,427531,603048
Celulózové výluhy,290154,275817,279582,350028,474571,458469
Neaglom. rostlinné materiály,0,20840,53735,84465,"26415,3",23085
Pelety a brikety,0,2620,4437,23850,"39211,3",84536
Ostatní biomasa,0,0,0,0,334,1390
Kapalná biopaliva,0,0,0,22,9,0
Bioplyn celkem,107856,138793,160858,175839,215223,266868
Komunální ČOV,54119,63591,71447,67662,70865,74036
Průmyslové ČOV,1691,2001,2869,2070,3292,4016
Bioplynové stanice,6519,7130,8243,19211,43248,91580
Skládkový plyn,45527,66071,78299,86896,97818,97236
Biologicky rozložitelná část TKO,9588,10031,10612,11264,11975,11684
Větrné elektrárny,4893,9871,21280,49400,125100,244661
Fotovoltaické elektrárny,184,291,414,592,2127,12937
Celkem,1878960,2742932,3133325,3518884,3412097,3731013
