FAME 2007 2008 2009 2010 2011 2012 2013
Dovoz - - - 26 000 43 000 37 000 46 000
Vývoz - - - 15 000 16 000 29 000 24 000
Tuzemská spotřeba - - 17 000 11 000 27 000 8 000 22 000
FAME 2014 2015 2016 2017 2018 2019 2020
Dovoz 108 000 46 000 27 000 43 000 72 000 55 000 103 000
Vývoz 43 000 50 000 38 000 55 000 49 000 41 000 50 000
Tuzemská spotřeba 65 000 -4 000 -11 000 -12 000 23 000 14 000 53 000
