Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",199437,851560,1050997
Palivové dřevo,–,62071,62071
Rostlinné materiály,30152,9801,39953
Brikety a pelety,2726,3317,6043
Celulózové výluhy,156927,1040179,1197106
Ostatní biomasa,–,–,–
Celkem,389242,1966928,2356170
