,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,49,–,54931565
Průmyslové ČOV,14,–,3282868
Bioplynové stanice,9,–,5215848
Skládkový plyn,22,–,44330255
Celkem,94,–,107760536
