,2015,2016,2017,2018,2019,2020
Biomasa (mimo domácnosti),46922484,47269179,47584709,45976471,51524676,54783418
Biomasa (domácnosti),73398454,74394528,75817912,78824788,84439843,86182159
Vodní elektrárny,6461305,7201758,6730074,5863788,7228904,7717982
Bioplyn,25663773,25160188,25459055,25279126,24331895,24814602
Biologicky rozložitelná část TKO,3341604,3581155,3853432,3668798,3256903,4012912
Kapalná biopaliva,12435671,12476471,13197851,13151434,14292732,15675987
Tepelná čerpadla (teplo prostředí),3809777,4441843,5223499,7234710,8489332,9786587
Solární termální systémy,661810,698763,730653,752557,767306,788597
Větrné elektrárny,2061403,1789046,2127737,2193588,2520050,2516699
Fotovoltaické elektrárny,8149846,7673236,7896125,8491968,8321666,8233250
Celkem,182906127,184686167,188621047,191437228,205173308,214512193
