,2014,2015,2016,2017,2018,2019,2020
Větrné elektrárny,476544,572612,496957,591038,609330,700014,699083
"do 0,5 MW včetně",1715,1876,1523,1951,1805,1934,1773
"nad 0,5 do 1 MW včetně",8420,9418,7973,9410,9130,9507,9572
nad 1 do 2 MW včetně,98790,125418,107329,126994,120615,124609,114718
nad 2 MW,367621,435900,380132,452683,477780,563963,573021
