,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,44,94,63552300
Průmyslové ČOV,14,16,16888543
Bioplynové stanice,377,404,1184040064
Skládkový plyn,24,68,54362636
Celkem,459,582,1318843543
