Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2004,12,"265269,5","33792,8","231476,7","244010,4"
2005,14,"222497,2","68483,4","154013,8","199436,6"
2006,16,"272724,5","78257,3","194467,2","250150,2"
2007,18,"427531,2","101263,2","326239,7","402986,7"
2008,21,"603047,9","131813,6","471234,4","579384,1"
2009,23,"650060,6","112116,8","537943,8","664955,1"
2010,28,"641839,9","112198,8","529641,0","768205,3"
2011,29,"820001,0","141454,6","678546,4","845217,6"
2012,27,"881041,3","172543,3","708498,0","910013,7"
2013,40,"787969,9","183115,2","604854,7","868035,0"
2014,43,"971631,5","230271,2","741360,3","908097,8"
2015,40,"1064770,6","249450,6","815320,0","990706,3"
2016,33,"1053513,4","250264,9","803248,5","1029497,8"
2017,33,"1133381,9","258235,8","875145,7","1123598,9"
2018,31,"1098772,8","257981,6","840791,3","1056142,1"
2019,32,"1229830,4","279635,0","950195,4","1146021,3"
2020,32,"1247045,1","272645,2","974399,9","1176160,9"
