,2009,2010,2011,2012,2013,2014
Vodní elektrárny,2429620,2789474,1963154,2129166,2734740,1909223
MVE < 1 MW,469932,554754,396997,391425,478721,465482
MVE 1 až < 10 MW,484934,603823,497618,525548,614803,546192
VVE ≥ 10 MW,1474754,1630897,1068539,1212193,1641216,897549
Biomasa celkem,1396271,1492239,1684571,1817337,1683272,1992217
Palivové dříví,0,0,0,0,190,595
Štěpka apod.,650061,641840,820001,881041,787970,971632
Celulózové výluhy,500511,514676,526203,535848,623117,714459
Neaglom. rostlinné materiály,72918,74152,111021,102761,104445,104926
Pelety a brikety,164170,241215,218020,295591,165045,198499
Ostatní biomasa,8601,20217,0,0,0,0
Kapalná biopaliva,10,139,9327,2097,2505,2108
Bioplyn celkem,441267,634662,928715,1467684,2293593,2583363
Komunální ČOV,79191,85002,88278,85902,90206,91091
Průmyslové ČOV,3616,4971,6924,8517,8800,17419
Bioplynové stanice,262622,447424,724802,1264273,2083546,2363319
Skládkový plyn,95838,97265,108711,108992,111041,111534
Biologicky rozložitelná část TKO,10937,35586,90190,86686,83842,87946
Větrné elektrárny,288067,335493,397003,415817,480519,476544
Fotovoltaické elektrárny,88807,615702,2182018,2148624,2032654,2122869
Celkem,4654969,5903156,7245651,8065314,9308620,9172162
