Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",910014,1077439,1987453
Palivové dřevo,–,41007,41007
Rostlinné materiály,96096,42642,138738
Brikety a pelety,180707,35583,216289
Celulózové výluhy,271539,849765,1121304
Ostatní biomasa,–,–,–
Celkem,1458355,2046436,3504791
