,Počet respondentů,Instalovaný elektrický výkon  (kW),Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh)
2003,5,1547,"6519,3","2677,5","3841,8"
2004,7,2066,"7130,4","2503,0","4627,4"
2005,7,1954,"8242,5","2163,2","6079,3"
2006,13,6109,"19210,5","10366,7","8843,8"
2007,19,10923,"43248,2","10722,2","32526,0"
2008,47,28946,"91580,0","15608,3","75971,7"
2009,84,53579,"262622,0","32484,5","230137,6"
2010,112,74990,"447423,6","49645,5","397778,2"
2011,179,132983,"724801,9","84147,7","640654,2"
2012,303,254167,"1264272,6","132781,9","1131490,6"
2013,371,312794,"2083545,9","267070,7","1816475,2"
2014,376,318228,"2363318,8","295504,7","2067814,1"
2015,378,319444,"2411842,9","298736,9","2113106,0"
2016,375,320053,"2385826,0","316292,0","2069534,0"
2017,376,322758,"2445867,1","332179,9","2113687,1"
2018,373,319998,"2410919,2","353311,1","2057608,2"
2019,372,319806,"2329454,3","355305,5","1974148,8"
2020,369,317792,"2405491,3","362335,0","2043156,3"
