,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,48,96,54366761
Průmyslové ČOV,12,13,3187864
Bioplynové stanice,20,21,27841876
Skládkový plyn,25,57,65100576
Celkem,105,187,150497077
