Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",845218,1005722,1850939
Palivové dřevo,–,34653,34653
Rostlinné materiály,94980,40266,135246
Brikety a pelety,143491,23087,166579
Celulózové výluhy,266494,833133,1099628
Ostatní biomasa,–,–,–
Celkem,1350183,1936861,3287044
