,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,43,93,60047193
Průmyslové ČOV,14,15,13680772
Bioplynové stanice,376,404,1133721760
Skládkový plyn,24,67,70750965
Celkem,458,574,1278200690
