,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,48,96,54821378
Průmyslové ČOV,11,12,2589790
Bioplynové stanice,14,14,14565391
Skládkový plyn,23,50,50925026
Celkem,96,172,122901585
