,2003,2004,2005,2006,2007,2008
Biomasa (mimo domácnosti),17962000,22594784,24040367,25529896,27999268,29253354
Biomasa (domácnosti),46953126,48393654,49809319,51983382,54085568,57095564
Vodní elektrárny,4980000,7269840,8567676,9182520,7522560,7287606
Bioplyn,1729000,2102447,2335388,2655572,3188631,3762370
Biologicky rozložitelná část TKO,2249644,2505266,2346380,2241348,2459361,2402866
Kapalná biopaliva,2592220,1326302,117253,796523,1374751,4654595
Tepelná čerpadla (teplo prostředí),347814,523160,647376,852985,1112572,1396253
Solární termální systémy,72747,85171,102870,127730,160498,203866
Větrné elektrárny,17615,35536,76608,177840,450360,880780
Fotovoltaické elektrárny,662,1048,1490,2131,7657,46573
Celkem,76904829,84837207,88044727,93549927,98361227,106983826
