"2003
2004
2005
2006
2007
2008"
Celkem 321 444 558 767 1 023 1 278
"2009
2010
2011
2012
2013
2014"
Celkem 1 616 2 003 2 441 2 936 3 447 3 956
"2015
2016
2017
2018
2019
2020"
Celkem 4 522 5 256 6 151 7 235 8 489 9 787
