Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2004,0,"0,0","0,0","0,0","0,0"
2005,0,"0,0","0,0","0,0","0,0"
2006,0,"0,0","0,0","0,0","0,0"
2007,0,"0,0","0,0","0,0","0,0"
2008,0,"0,0","0,0","0,0","0,0"
2009,0,"0,0","0,0","0,0","0,0"
2010,0,"0,0","0,0","0,0","0,0"
2011,0,"0,0","0,0","0,0","0,0"
2012,0,"0,0","0,0","0,0","0,0"
2013,3,"190,0","114,0","76,0","193,1"
2014,1,"594,5","319,5","275,0","595,0"
2015,2,"268,3","153,6","114,7","269,4"
2016,1,"158,4","87,3","71,1","182,4"
2017,1,"55,8","40,2","15,6","57,5"
2018,0,"0,0","0,0","0,0","0,0"
2019,1,"146,3","23,2","123,2","174,3"
2020,0,"0,0","0,0","0,0","0,0"
