Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",1146021,1401818,2547840
Palivové dřevo,174,41638,41812
Rostlinné materiály,93857,59962,153819
Brikety a pelety,135539,64307,199846
Celulózové výluhy,521951,1217776,1739728
Ostatní biomasa,0,0,0
Celkem,1897542,2785502,4683045
