,2006,2007,2008,2009,2010,2011,2012,2013
Vodní elektrárny,2550700,2089600,2024335,2429620,2789474,1963154,2129166,2734740
MVE < 1 MW,463554,477340,442456,469932,554754,396997,391425,478721
MVE 1 až < 10 MW,425510,495210,477823,484934,603823,497618,525548,614803
VVE ≥ 10 MW,1661636,1117050,1104056,1474754,1630897,1068539,1212193,1641216
