,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,48,96,57857277
Průmyslové ČOV,12,13,3624054
Bioplynové stanice,48,49,51382715
Skládkový plyn,24,58,62705698
Celkem,132,216,175569744
