,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,44,92,63944000
Průmyslové ČOV,14,17,16456575
Bioplynové stanice,372,402,1137672160
Skládkový plyn,24,67,51736056
Celkem,454,578,1269808791
