Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2004,20,"31284,3","29589,2","1695,1","2251,1"
2005,26,"45416,7","39589,7","5827,0","3316,9"
2006,73,"116549,0","72239,3","44309,7","8133,8"
2007,113,"199531,2","98858,6","100672,6","15528,6"
2008,85,"211316,4","78331,2","132985,2","16402,8"
2009,92,"360836,1","104868,2","255967,9","26897,6"
2010,119,"311174,8","107398,6","203776,2","22827,0"
2011,151,"316126,4","132594,5","183531,9","23087,3"
2012,221,"479547,7","185629,8","293917,9","35582,9"
2013,248,"1007513,1","460567,1","546946,0","74891,6"
2014,257,"707621,8","219700,1","487921,7","52355,4"
2015,255,"801131,1","227496,8","573634,3","58327,1"
2016,255,"898944,0","252680,6","646263,3","64707,5"
2017,252,"1056281,0","300856,4","755424,8","76087,2"
2018,292,"870841,3","284843,3","585998,0","63379,8"
2019,255,"917465,5","312624,0","604841,5","64307,4"
2020,232,"1069377,2","323458,2","745919,0","75187,2"
