,2009,2010,2011,2012,2013,2014
Biomasa celkem,61181578,63451376,64944096,67340072,73018639,74578674
Biomasa mimo domácnosti,15497695,16065796,16132625,16447311,20053936,20368961
Palivové dřevo,318631,379931,360065,425224,514391,488029
Štěpka apod.,7929554,8147677,8415717,8397359,10012747,10896859
Celulózové výluhy,6455210,6739651,6609281,6602059,7826974,7611754
Neaglom. rostlinné materiály,432274,483304,429334,513393,687438,660841
Brikety a pelety,360836,311175,316126,479548,1007513,707622
Ostatní biomasa,1190,4058,0,0,0,0
Kapalná biopaliva,0,0,2102,29728,4873,3856
Biomasa domácnosti,45683883,47385581,48811471,50892761,52964704,54209713
Bioplyn celkem,1210969,1610361,1910636,2452894,3571077,3964548
Komunální ČOV,678140,714710,745856,681942,664633,598878
Průmyslové ČOV,58679,62779,71484,105033,85055,148007
Bioplynové stanice,397616,752400,1015821,1580765,2724264,3129431
Skládkový plyn,76534,80473,77474,85154,97125,88232
Biologicky rozložitelná část TKO,1646018,1777076,2074883,2136901,2204525,2284579
Tepelná čerp. (teplo prostředí),1616455,2002609,2441419,2935902,3446669,3956284
Solární termální systémy,265502,364096,457869,526020,572671,618678
Celkem,65920522,69205518,71828903,75391789,82813581,85402763
