,2014,2015,2016,2017,2018,2019,2020,2021
Vodní elektrárny,1909223,1794807,2000488,1869465,1628830,2008029,2143884,
MVE < 1 MW,465482,445888,482563,511326,388624,461388,523368,
MVE 1 až < 10 MW,546192,555909,570537,551153,486505,561637,655337,
VVE ≥ 10 MW,897549,793010,947388,806985,753701,985004,965180,
