Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2004,643,"8043981,1","6506005,7","1537975,4","864912,4"
2005,669,"8493573,1","7792872,5","700700,6","851560,2"
2006,708,"7918201,5","7032247,7","885953,8","881456,7"
2007,948,"8317900,9","7433872,7","884028,2","934669,3"
2008,699,"8297771,9","7208516,8","1089255,1","1023815,9"
2009,812,"7929554,3","6883869,5","1045684,7","948261,4"
2010,771,"8147676,8","6803489,9","1344186,9","983789,8"
2011,684,"8415716,7","6613993,6","1801723,0","1005721,8"
2012,750,"8397359,2","6769668,0","1627691,2","1077439,4"
2013,549,"10012747,4","7199441,0","2813306,4","1252275,0"
2014,650,"10896858,9","7587026,5","3309832,4","1335911,8"
2015,624,"12313627,9","8417843,7","3895784,3","1492231,4"
2016,604,"12946211,9","8926599,6","4019612,2","1537473,2"
2017,571,"11464006,3","7039886,2","4424120,0","1401504,4"
2018,601,"11588054,8","7181482,7","4406572,0","1384712,6"
2019,516,"11903109,6","6944151,6","4958958,0","1401818,4"
2020,508,"13320888,9","7504993,2","5815895,7","1573201,7"
