,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,44,94,60326737
Průmyslové ČOV,13,14,10406354
Bioplynové stanice,303,317,628824719
Skládkový plyn,25,61,66136898
Celkem,385,486,765694708
