Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2004,0,"0,0","0,0","0,0","0,0"
2005,0,"0,0","0,0","0,0","0,0"
2006,1,"22,3","0,0","22,3","10,0"
2007,1,"9,0","0,8","8,2","5,0"
2008,0,"0,0","0,0","0,0","0,0"
2009,1,"10,0","10,0","0,0","4,0"
2010,3,"139,1","132,4","6,7","55,4"
2011,9,"9327,2","9221,5","105,7","1584,0"
2012,13,"2096,6","1230,4","866,3","476,1"
2013,10,"2505,1","2475,1","29,9","436,4"
2014,6,"2107,6","1094,6","1013,1","864,5"
2015,10,"2083,3","941,2","1142,1","381,8"
2016,10,"3428,5","1173,0","2255,6","697,4"
2017,8,"4239,8","866,4","3373,4","991,6"
2018,8,"3471,0","907,9","2563,2","897,2"
2019,7,"1198,8","647,8","551,0","279,0"
2020,7,"1257,7","656,5","601,1","310,1"
