Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2004,765,"387277,4","375123,4","12154,0","36793,7"
2005,846,"640525,3","639925,3","600,0","62071,4"
2006,744,"556157,8","555972,8","185,0","54102,2"
2007,858,"569990,2","561429,2","8561,0","54635,4"
2008,520,"355809,9","355351,2","458,7","34718,8"
2009,517,"318631,4","318172,7","458,7","30861,2"
2010,510,"379931,4","376684,0","3247,4","36505,8"
2011,517,"360065,2","360065,2","0,0","34653,0"
2012,698,"425223,9","425223,9","0,0","41006,6"
2013,786,"514390,7","514390,7","0,0","52146,1"
2014,589,"488029,1","488029,1","0,0","49176,8"
2015,570,"477673,5","477673,5","0,0","43379,1"
2016,566,"638298,3","638298,3","0,0","59598,7"
2017,448,"673578,4","673578,4","0,0","64757,0"
2018,470,"533367,4","509610,4","23757,0","52060,1"
2019,405,"419947,5","399534,4","20413,0","41638,1"
2020,354,"458160,4","420486,1","37674,3","42615,0"
