,Počet resp.,Instalovaný  tepelný výkon  (kW),Výroba tepla (GJ),Dodávka do vlastního podniku nebo zařízení  vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ)
2003,68,150071,"780638,6","705682,6","74956,0"
2004,76,176415,"968452,2","880595,2","87857,0"
2005,74,168812,"1009902,1","928351,1","81551,0"
2006,78,171757,"918510,6","842624,7","75885,9"
2007,85,143388,"1009220,5","941884,4","67336,1"
2008,107,136207,"1065390,3","922705,9","142684,4"
2009,147,165084,"1210968,6","1047173,6","163795,0"
2010,176,188545,"1610360,9","1383319,6","227041,3"
2011,246,240681,"1910635,6","1640845,5","269790,1"
2012,367,355211,"2452893,8","2129924,9","322968,9"
2013,436,421138,"3571076,6","3160186,2","410890,4"
2014,440,425418,"3964548,0","3456702,4","507845,7"
2015,441,422387,"4158488,2","3622994,1","535494,1"
2016,439,424550,"4884700,7","4381596,2","503104,4"
2017,442,425854,"4618366,1","4102396,2","515969,6"
2018,437,418666,"4571584,8","4034591,5","536993,4"
2019,437,423242,"4529370,8","3991521,2","537849,6"
2020,431,423051,"4607317,4","4065243,6","542073,8"
