Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2003,1200,"13890855,1","12417500,7","1473354,4","1689935,7"
2004,1300,"16980168,4","15366508,9","1613659,5","1777497,1"
2005,1448,"17436985,7","15434164,8","2002820,9","1966928,4"
2006,1394,"16369797,1","14824775,7","1545021,4","1839577,5"
2007,1755,"16041569,9","14505398,9","1536171,0","1916200,1"
2008,1186,"15462629,6","13736265,7","1726363,8","1884799,3"
2009,1344,"15497695,1","13770769,2","1726925,9","1854817,3"
2010,1200,"16065795,5","14030923,0","2034872,5","1963776,6"
2011,1178,"16132625,4","13615827,5","2516797,9","1936961,3"
2012,1462,"16447311,3","14016595,4","2430715,9","2047408,0"
2013,1454,"20053935,6","16118151,1","3935784,5","2436130,0"
2014,1363,"20368960,5","15740037,0","4628923,5","2549478,8"
2015,1314,"22214847,7","16740913,4","5473934,3","2726225,8"
2016,1351,"23695959,6","17917964,9","5777994,7","2792501,0"
2017,1163,"21940177,3","15648880,8","6291296,7","2650007,5"
2018,1249,"21507294,2","15517316,7","5989977,5","2551618,1"
2019,1091,"24154160,0","17398170,7","6755989,3","2785586,8"
2020,1010,"26446458,0","18603445,4","7843012,5","3011626,3"
