Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",908098,1335912,2244010
Palivové dřevo,595,49177,49772
Rostlinné materiály,96719,61033,157752
Brikety a pelety,135510,52355,187866
Celulózové výluhy,362947,1050728,1413675
Ostatní biomasa,0,0,0
Celkem,1503868,2549206,4053074
