Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",664955,948261,1613216
Palivové dřevo,–,30861,30861
Rostlinné materiály,55815,39046,94861
Brikety a pelety,93774,26898,120672
Celulózové výluhy,242229,808901,1051130
Ostatní biomasa,7135,851,7986
Celkem,1063908,1854817,2918725
