,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,47,95,58451483
Průmyslové ČOV,11,12,4068474
Bioplynové stanice,85,86,132287587
Skládkový plyn,24,61,64758982
Celkem,167,254,259566526
