,Počet respondentů,Instalovaný elektrický výkon  (kW),Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh)
2003,25,13298,"54118,5","47770,6","6347,9"
2004,29,15991,"63590,6","48247,8","15342,8"
2005,30,16413,"71446,5","56588,6","14857,9"
2006,29,16216,"67661,6","51535,6","16126,0"
2007,30,16300,"70865,4","56368,8","14496,6"
2008,31,17206,"74036,3","59312,5","14723,8"
2009,32,17532,"79190,9","65197,6","13993,3"
2010,31,17767,"85002,1","69001,9","16000,2"
2011,32,18520,"88278,0","72479,2","15798,8"
2012,33,19483,"85901,8","71466,0","14435,8"
2013,33,20702,"90206,2","75996,3","14209,9"
2014,33,20704,"91091,2","81579,8","9511,4"
2015,33,20730,"86877,8","79400,3","7477,5"
2016,33,20372,"91106,7","82993,5","8113,5"
2017,36,21367,"88551,5","80242,7","8308,6"
2018,36,21208,"93276,0","85141,8","8134,2"
2019,37,20997,"98241,8","89795,9","8445,9"
2020,38,20963,"94714,7","84544,1","10170,6"
