Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2004,2,"20839,7","1169,0","19670,7","11589,8"
2005,3,"53735,4","1353,0","52382,4","30151,7"
2006,3,"84464,5","7821,5","76643,0","62146,0"
2007,5,"26415,3","2053,1","24158,7","16219,6"
2008,7,"23085,2","2722,2","20363,0","15120,4"
2009,7,"72918,2","8526,8","64391,4","55815,3"
2010,5,"74151,5","10588,6","63562,9","61407,1"
2011,7,"111020,6","11985,3","99035,3","94979,8"
2012,6,"102760,8","10928,6","91832,2","96095,5"
2013,5,"104445,3","11115,1","93330,2","97337,9"
2014,7,"104926,2","8923,3","96002,9","96718,6"
2015,7,"100042,1","7083,6","92958,6","90594,0"
2016,9,"106635,1","11476,9","95158,2","98754,1"
2017,7,"96494,9","12821,6","83673,3","95231,0"
2018,7,"97083,4","11639,1","85444,2","90262,9"
2019,7,"94380,3","11817,6","82562,7","93856,7"
2020,7,"98976,7","10644,2","88332,5","98457,6"
