,Počet resp.,Instalovaný  tepelný výkon  (kW),Výroba tepla (GJ),Dodávka do vlastního podniku nebo zařízení  vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ)
2003,6,9402,"89731,8","17571,8","72160,0"
2004,7,11588,"103571,5","19283,5","84288,0"
2005,6,8675,"91140,0","13868,0","77272,0"
2006,6,7765,"78193,3","13625,3","64568,0"
2007,7,9578,"92389,7","31398,6","60991,1"
2008,5,8530,"86454,3","24629,9","61824,4"
2009,8,9382,"76533,7","26489,7","50044,0"
2010,7,9597,"80473,0","29108,0","51365,0"
2011,8,9870,"77474,3","19658,3","57816,0"
2012,8,9870,"85153,5","20027,5","65126,0"
2013,8,9693,"97124,6","22357,6","74767,0"
2014,7,9699,"88232,0","22462,4","65769,6"
2015,7,9836,"82225,6","26902,6","55323,0"
2016,7,10469,"77759,4","26757,4","51002,0"
2017,7,9699,"68728,4","21205,4","47523,0"
2018,7,13391,"64608,4","23965,4","40643,0"
2019,6,13206,"66374,2","24948,2","41426,0"
2020,7,14734,"68138,5","23899,5","44239,0"
