Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2004,2,"2619,6","482,7","2136,90","1227,2"
2005,2,"4437,0","234,0","4203,00","2726,1"
2006,6,"23849,7","1598,5","22251,20","15519,3"
2007,6,"39211,3","5651,0","33560,30","24321,4"
2008,8,"84535,6","18006,2","66529,4","44924,6"
2009,10,"164170,1","32095,0","132075,1","93774,1"
2010,9,"241215,4","32469,9","208745,5","149593,8"
2011,10,"218019,5","31104,6","186914,9","143491,4"
2012,12,"295591,2","52619,4","242971,8","180706,5"
2013,8,"165044,6","27557,6","137487,0","95796,8"
2014,9,"198499,0","37452,6","161046,4","135510,1"
2015,11,"236545,8","46104,7","190441,1","163801,7"
2016,9,"237630,4","46867,8","190762,6","157834,2"
2017,11,"274764,7","53307,6","221457,1","185211,4"
2018,10,"234619,1","46111,1","188508,0","155199,8"
2019,12,"214521,1","42656,6","171864,5","135538,6"
2020,12,"236272,8","45807,5","190465,4","144395,2"
