bioethanol 2007 2008 2009 2010 2011 2012 2013
Dovoz - -   12 000 12 000 7 000 3 000
Vývoz - -   5 000 6 000 10 000 12 000
Tuzemská spotřeba - - 8 000 7 000 6 000 -3 000 -9 000
bioethanol 2014 2015 2016 2017 2018 2019 2020
Dovoz 12 000 10 000 5 000 7 000 9 000 8 000 11 000
Vývoz 40 000 34 000 23 000 30 000 19 000 34 000 32 000
Tuzemská spotřeba -28 000 -24 000 -18 000 -23 000 -10 000 -26 000 -21 000
