Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",250150,881457,1131607
Palivové dřevo,–,54102,54102
Rostlinné materiály,62146,12307,74453
Brikety a pelety,15519,8134,23653
Celulózové výluhy,184619,883578,1068197
Ostatní biomasa,–,–,–
Celkem,512435,1839578,2352012
