Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2004,0,"0,0","0,0","0,0","0,0"
2005,0,"0,0","0,0","0,0","0,0"
2006,0,"0,0","0,0","0,0","0,0"
2007,1,"2062,0","0,0","2062,0","192,0"
2008,0,"0,0","0,0","0,0","0,0"
2009,2,"1190,0","111,0","1079,0","851,0"
2010,1,"4058,0","0,0","4058,0","1846,0"
2011,0,"0,0","0,0","0,0","0,0"
2012,0,"0,0","0,0","0,0","0,0"
2013,0,"0,0","0,0","0,0","0,0"
2014,0,"0,0","0,0","0,0","0,0"
2015,0,"0,0","0,0","0,0","0,0"
2016,0,"0,0","0,0","0,0","0,0"
2017,0,"0,0","0,0","0,0","0,0"
2018,0,"0,0","0,0","0,0","0,0"
2019,0,"0,0","0,0","0,0","0,0"
2020,0,"0,0","0,0","0,0","0,0"
