,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,43,94,61244175
Průmyslové ČOV,13,14,10339332
Bioplynové stanice,371,388,995619603
Skládkový plyn,24,65,64592138
Celkem,452,564,1131795248
