,Počet resp.,Instalovaný  tepelný výkon  (kW),Výroba tepla (GJ),Dodávka do vlastního podniku nebo zařízení  vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ)
2003,46,66318,"552416,0","552416,0","0,0"
2004,49,89411,"722849,6","722849,6","0,0"
2005,49,88703,"791462,8","791462,8","0,0"
2006,48,87886,"709546,4","709546,4","0,0"
2007,48,88496,"695568,7","695568,7","0,0"
2008,48,89691,"690251,9","690251,9","0,0"
2009,47,89796,"678139,6","678139,6","0,0"
2010,46,91885,"714709,8","714709,8","0,0"
2011,46,91581,"745856,2","745856,2","0,0"
2012,44,92845,"681942,1","681942,1","0,0"
2013,44,97409,"664633,2","664633,2","0,0"
2014,44,94482,"598877,8","598877,8","0,0"
2015,43,94124,"617837,7","617837,7","0,0"
2016,44,95204,"595854,1","595854,1","0,0"
2017,44,95198,"555845,7","555845,7","0,0"
2018,44,90655,"582287,9","582287,9","0,0"
2019,44,91606,"577106,1","577106,1","0,0"
2020,45,91627,"529229,6","529229,6","0,0"
