Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",868035,1252275,2120310
Palivové dřevo,193,52146,52339
Rostlinné materiály,97338,61086,158424
Brikety a pelety,95797,74892,170689
Celulózové výluhy,334644,995528,1330172
Ostatní biomasa,0,0,0
Celkem,1396007,2435927,3831934
