,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,46,–,43932055
Průmyslové ČOV,11,–,3741104
Bioplynové stanice,8,–,6071638
Skládkový plyn,8,–,23475433
Celkem,73,–,77220230
