Roky,2004,2005,2006,2007,2008,2009,2010,2011,2012
Spotřeba,1,7,26,42,62,120,173,166,209
Roky,2013,2014,2015,2016,2017,2018,2019,2020,
Spotřeba,149,179,214,211,248,202,180,185,
