,Počet respondentů,"Počet lokalit  (ČOV, skládek, BPS)",Spotřeba bioplynu (m3)
Komunální ČOV,46,97,62209058
Průmyslové ČOV,11,12,4337639
Bioplynové stanice,113,115,223170256
Skládkový plyn,23,63,61412242
Celkem,193,287,351129195
