,2003,2004,2005,2006,2007,2008
Biomasa celkem,49105699,53275409,54793975,55357333,56605746,58284303
Biomasa mimo domácnosti,13890855,16980168,17436986,16369797,16041570,15462630
Palivové dřevo,110916,387277,640525,556158,569990,355810
Štěpka apod.,6536255,8043981,8493573,7918202,8317901,8297772
Celulózové výluhy,7156229,8408747,8151984,7656367,6691839,6339165
Neaglom. rostlinné materiály,60347,108879,105487,122522,260083,258501
Brikety a pelety,27108,31284,45417,116549,199531,211316
Ostatní biomasa,0,0,0,0,2062,0
Kapalná biopaliva,0,0,0,0,164,66
Biomasa domácnosti,35214844,36295241,37356989,38987536,40564176,42821673
Bioplyn celkem,780639,968452,1009902,918511,1009221,1065390
Komunální ČOV,552416,722850,791463,709546,695569,690252
Průmyslové ČOV,81167,74478,60077,50501,53486,62232
Bioplynové stanice,57324,67553,67223,80270,167776,226452
Skládkový plyn,89732,103572,91140,78193,92390,86454
Biologicky rozložitelná část TKO,1941500,1936183,1860833,1886642,1887668,1848182
Tepelná čerp. (teplo prostředí),321097,444111,558449,766685,1023307,1278080
Solární termální systémy,72747,85171,102870,127730,160498,203866
Celkem,52221682,56709326,58326029,59056901,60686440,62679821
