Palivo,Na výrobu elektřiny,Na výrobu tepla,Celkem
"Dřevní odp., štěpka, piliny atd.",1056142,1384713,2440855
Palivové dřevo,0,52060,52060
Rostlinné materiály,90263,62336,152599
Brikety a pelety,155200,63380,218580
Celulózové výluhy,418328,988973,1407300
Ostatní biomasa,0,0,0
Celkem,1719932,2551461,4271393
